app_id,name
730,Counter-Strike: Global Offensive
289070,Sid Meier’s Civilization® VI
594570,Total War: WARHAMMER II
1174180,Red Dead Redemption 2
306130,The Elder Scrolls® Online
703080,Planet Zoo
292030,The Witcher® 3: Wild Hunt
359550,Tom Clancy's Rainbow Six® Siege
105600,Terraria
582660,Black Desert Online
976730,Halo: The Master Chief Collection
271590,Grand Theft Auto V
548430,Deep Rock Galactic
1085660,Destiny 2
230410,Warframe
261550,Mount & Blade II: Bannerlord
39210,FINAL FANTASY XIV Online
252950,Rocket League®
252490,Rust
570,Dota 2
1102190,Monster Train
236390,War Thunder
346110,ARK: Survival Evolved
546560,Half-Life: Alyx
1209120,Total War: WARHAMMER II - The Warden & The Paunch
813780,Age of Empires II: Definitive Edition
582010,MONSTER HUNTER: WORLD
594650,Hunt: Showdown
381210,Dead by Daylight
1089350,NBA 2K20
281990,Stellaris
221100,DayZ
238960,Path of Exile
387990,Scrap Mechanic
440,Team Fortress 2
435150,Divinity: Original Sin 2 - Definitive Edition
648350,Jurassic World Evolution
493340,Planet Coaster
979110,Space Haven
223750,DCS World Steam Edition
947510,Sid Meier's Civilization® VI: Gathering Storm
286160,Tabletop Simulator
578080,PLAYERUNKNOWN'S BATTLEGROUNDS
1100600,Football Manager 2020
200210,Realm of the Mad God
489830,The Elder Scrolls V: Skyrim Special Edition
815370,Green Hell
107410,Arma 3
477160,Human: Fall Flat
242760,The Forest
1172380,STAR WARS Jedi: Fallen Order™
814380,Sekiro™: Shadows Die Twice
1118010,Monster Hunter World: Iceborne
364360,Total War: WARHAMMER
752590,A Plague Tale: Innocence
386360,SMITE®
394360,Hearts of Iron IV
895400,Deadside
601510,Yu-Gi-Oh! Duel Links
266410,iRacing
493520,GTFO
880940,Pummel Party
413150,Stardew Valley
227300,Euro Truck Simulator 2
1105420,Game of Thrones Winter is Coming
47890,The Sims™ 3
617290,Remnant: From the Ashes
434170,The Jackbox Party Pack 3
779340,Total War: THREE KINGDOMS
620980,Beat Saber
291550,Brawlhalla
251570,7 Days to Die
632360,Risk of Rain 2
645402,Sid Meier’s Civilization® VI: Rise and Fall
812140,Assassin's Creed® Odyssey
690790,DiRT Rally 2.0
8500,EVE Online
431960,Wallpaper Engine
244210,Assetto Corsa
976310,Mortal Kombat 11
787860,Farming Simulator 19
244850,Space Engineers
431240,Golf With Your Friends
552990,World of Warships
377160,Fallout 4
645630,Car Mechanic Simulator 2018
1016870,FINAL FANTASY XIV: Shadowbringers
412020,Metro Exodus
1005300,The Jackbox Party Pack 6
470220,UNO
322330,Don't Starve Together
629760,MORDHAU
219990,Grim Dawn
518790,theHunter: Call of the Wild™
239140,Dying Light
952060,RESIDENT EVIL 3
1140001,Stellaris: Federations
678950,DRAGON BALL FighterZ
1057090,Ori and the Will of the Wisps
882100,XCOM®: Chimera Squad
374320,DARK SOULS™ III
218620,PAYDAY 2
268500,XCOM® 2
270880,American Truck Simulator
214950,Total War™: ROME II - Emperor Edition
8930,Sid Meier's Civilization® V
728880,Overcooked! 2
863550,HITMAN™ 2
304390,FOR HONOR™
1238440,Planet Zoo: South America Pack 
924980,Trials of Mana
284160,BeamNG.drive
275850,No Man's Sky
906100,Observation
